Year                 ,Drug_Status
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
1972,Not applicable
